j_reset_real 0 00100000 B               reset; Branch
sub_10C990 3 0010c9dc MOV             R2, #1; Rd = Op2
sub_10C990 4 0010c9ec LDRB            R1, [R6,R1]; Load from Memory
sub_10C990 5 0010ca00 SUB             R0, R7, R0; Rd = Op1 - Op2
sub_10C990 6 0010ca10 MOV             R12, R5,LSL#30; Rd = Op2
sub_10C990 7 0010ca64 ADD             R0, R7, #3; Rd = Op1 + Op2
sub_10C990 8 0010ca6c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_10C990 9 0010ca78 ADD             R1, R4, R0,LSL#2; Rd = Op1 + Op2
sub_10C990 10 0010ca8c MOV             R0, #0; Rd = Op2
sub_10C990 11 0010ca90 LDMFD           SP!, {R4-R8,PC}; Load Block from Memory
sub_10CAC4 0 0010cac4 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_10CAC4 1 0010caf4 LDRB            R2, [R1,R0]; Load from Memory
sub_10CAC4 2 0010cb00 ADD             R2, R1, R0; Rd = Op1 + Op2
sub_10CAC4 3 0010cb10 ADD             R0, R0, #1; Rd = Op1 + Op2
sub_10CAC4 4 0010cb18 ADD             R0, R0, #2; Rd = Op1 + Op2
sub_10CAC4 5 0010cb24 CMP             R4, #0x10; Set cond. codes on Op1 - Op2
sub_10CAC4 6 0010cb30 LDR             R12, [R5,#0]; Load from Memory
sub_10CAC4 7 0010cb44 RSB             R3, R0, #0x200; Rd = Op2 - Op1
sub_10CAC4 8 0010cb60 ADD             SP, SP, #0x208; Rd = Op1 + Op2
sub_10CB84 0 0010cb84 STMFD           SP!, {R4,R5,LR}; Store Block to Memory
sub_10CB84 1 0010cbb0 LDR             R0, [R4,#0x200]; Load from Memory
sub_10CB84 2 0010cbc8 ADD             SP, SP, #0x204; Rd = Op1 + Op2
sub_10CBD0 0 0010cbd0 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10CBD0 1 0010cbdc CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10CBD0 2 0010cbe8 MOV             R12, #1; Rd = Op2
sub_10CBD0 3 0010cbfc BX              LR; Branch to/from Thumb mode
sub_10CBD0 4 0010cc00 MOV             R0, #6; Rd = Op2
sub_10CBD0 5 0010cc08 MOV             R12, R0; Rd = Op2
sub_10CBD0 6 0010cc14 LDRB            R1, [R2,#0]; Load from Memory
sub_10CBD0 7 0010cc54 ADD             R1, R0, R3,LSL#1; Rd = Op1 + Op2
sub_10CC68 0 0010cc68 SUBS            R2, R2, #1; Rd = Op1 - Op2
sub_10CC68 1 0010cc70 LDR             R3, [R0,R2,LSL#2]; Load from Memory
sub_10CC68 2 0010cc80 MOV             R0, #0xFFFFFFFF
sub_10CC68 3 0010cc88 BLS             loc_10CC94; Branch
sub_10CC68 4 0010cc8c MOV             R0, #1; Rd = Op2
sub_10CC68 5 0010cc94 SUBS            R2, R2, #1; Rd = Op1 - Op2
sub_10CC68 6 0010cc9c MOV             R0, #0; Rd = Op2
sub_10CCA4 0 0010cca4 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_10CCA4 1 0010ccc8 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_10CCA4 2 0010ccd4 MOV             R2, R1; Rd = Op2
sub_10CCA4 3 0010ccec LDRB            R3, [R0,#0]; Load from Memory
sub_10CCA4 4 0010ccf8 SUBS            R2, R2, #1; Rd = Op1 - Op2
sub_10CCA4 5 0010cd08 TST             R1, #1; Set cond. codes on Op1 & Op2
sub_10CCA4 6 0010cd14 MOV             R0, #6; Rd = Op2
sub_10CCA4 7 0010cd1c SUB             R1, R0, #0x30; Rd = Op1 - Op2
sub_10CCA4 8 0010cd2c SUB             R1, R0, #0x41; Rd = Op1 - Op2
sub_10CCA4 9 0010cd3c SUB             R1, R0, #0x61; Rd = Op1 - Op2
sub_10CCA4 10 0010cd4c SXTB            R0, R0; Signed extend byte to word
sub_10CCA4 11 0010cd50 CMP             R0, #0xF; Set cond. codes on Op1 - Op2
sub_10CCA4 12 0010cd5c TST             R4, #1; Set cond. codes on Op1 & Op2
sub_10CCA4 13 0010cd74 LDRB            R0, [R6,R5]; Load from Memory
sub_10CCA4 14 0010cd84 MOV             R0, R4,LSR#1; Rd = Op2
sub_10CCA4 15 0010cd94 MOV             R0, #1; Rd = Op2
sub_10CDC4 0 0010cdc4 MOV             R3, R0; Rd = Op2
sub_10CDC4 1 0010cddc LDR             R4, [R3,#0]; Load from Memory
sub_10CDC4 2 0010ce04 LDMFD           SP!, {R4,R5}; Load Block from Memory
memcpy 0 0010f000 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
memcpy 1 0010f010 CMP             R10, #0x20; Set cond. codes on Op1 - Op2
memcpy 2 0010f018 CMP             R10, #4; Set cond. codes on Op1 - Op2
memcpy 3 0010f020 CMP             R10, #0; Set cond. codes on Op1 - Op2
memcpy 4 0010f028 MOV             R0, #1; Rd = Op2
memcpy 5 0010f030 LDMIA           R9!, {R0-R7}; Load Block from Memory
memcpy 6 0010f040 LDMIA           R9!, {R0}; Load Block from Memory
memcpy 7 0010f050 LDRB            R0, [R9],#1; Load from Memory
memcpy 8 0010f064 BLE             loc_10F028; Branch
memcpy 9 0010f068 STMFD           SP!, {R4-R9,LR}; Store Block to Memory
memzero 0 0010f068 STMFD           SP!, {R4-R9,LR}; Store Block to Memory
memzero 1 0010f09c CMP             R9, #0; Set cond. codes on Op1 - Op2
memzero 2 0010f0a4 MOV             R0, #1; Rd = Op2
memzero 3 0010f0ac STMIA           R8!, {R0-R7}; Store Block to Memory
memzero 4 0010f0bc BLT             loc_10F09C; Branch
memzero 5 0010f0c0 STRB            R0, [R8],#1; Store to Memory
memzero 6 0010f0d0 BLE             loc_10F0A4; Branch
memzero 7 0010f0d4 B               loc_10F0D4; Branch
sub_10F0D8 0 0010f0d8 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_10F0D8 1 0010f0e8 MOV             R12, R0; Rd = Op2
sub_10F0D8 2 0010f130 LDMFD           SP!, {R4,R5}; Load Block from Memory
sub_10F0D8 3 0010f13c ADD             R3, R3, #1; Rd = Op1 + Op2
sub_10F0D8 4 0010f148 LDMFD           SP!, {R4,R5}; Load Block from Memory
sub_10F154 0 0010f154 BIC             R1, R0, #3; Rd = Op1 & ~Op2
sub_10F170 0 0010f170 BIC             R2, R0, #3; Rd = Op1 & ~Op2
sub_10F1C8 0 0010f1c8 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10F1C8 1 0010f1d4 SUB             R2, R0, #1; Rd = Op1 - Op2
sub_10F1C8 2 0010f1e4 MOV             R0, R1; Rd = Op2
sub_10F1EC 0 0010f1ec LDR             R0, =0xB123000; Load from Memory
sub_10F204 0 0010f204 MOV             R1, #0xA6000; Rd = Op2
timer_memory_stuff 0 0010f21c LDR             R0, =0x4A1000; Load from Memory
sub_10F288 0 0010f288 NOP; No Operation
get_timer 0 0010f2b0 LDR             R0, =0xB123000; Load from Memory
sub_10F2C0 0 0010f2c0 LDR             R0, =0xB123000; Load from Memory
sub_10F2C0 1 0010f2d4 LDR             R1, [R0,#0x2C]; Load from Memory
sub_10F2C0 2 0010f2e4 BX              LR; Branch to/from Thumb mode
sub_10F2EC 0 0010f2ec STMFD           SP!, {R4,LR}; Store Block to Memory
sub_10F2EC 1 0010f300 MOV             R3, R4; a4
sub_10F2EC 2 0010f314 LDR             R0, =0xB123000; Load from Memory
sub_10F364 0 0010f364 LDR             R0, =0xB121000; Load from Memory
sub_10F39C 0 0010f39c CMP             R0, #0xA; Set cond. codes on Op1 - Op2
sub_10F39C 1 0010f3b0 CMP             R4, #0x3E8; Set cond. codes on Op1 - Op2
sub_10F39C 2 0010f3bc MOV             R0, #0x1388; Rd = Op2
sub_10F39C 3 0010f3cc LDR             R0, =0x3531DEC; Load from Memory
sub_10F39C 4 0010f3d8 MOV             R3, R4; a4
sub_10F39C 5 0010f3ec MOV             R0, #0x4D; Rd = Op2
sub_10F39C 6 0010f3f8 LDR             R1, =0xB121000; Load from Memory
sub_10F39C 7 0010f410 LDR             R0, [R1,#0x2C]; Load from Memory
sub_10F39C 8 0010f41c LDR             R0, [R1,#0x2C]; Load from Memory
sub_10F450 0 0010f450 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_10F450 1 0010f458 CMP             R0, R1; Set cond. codes on Op1 - Op2
sub_10F450 2 0010f468 BCS             loc_10F56C; Branch
sub_10F450 3 0010f46c ORR             R3, R1, R0; Rd = Op1 | Op2
sub_10F450 4 0010f478 EOR             R3, R1, R0; Rd = Op1 ^ Op2
sub_10F450 5 0010f484 CMP             R2, #4; Set cond. codes on Op1 - Op2
sub_10F450 6 0010f494 MOV             R3, R2; Rd = Op2
sub_10F450 7 0010f498 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10F450 8 0010f4a4 MOV             R4, R1; Rd = Op2
sub_10F450 9 0010f4f4 MOVS            R3, R2,LSR#2; Rd = Op2
sub_10F450 10 0010f4fc LDR             R12, [R1],#4; Load from Memory
sub_10F450 11 0010f50c ANDS            R12, R2, #3; Rd = Op1 & Op2
sub_10F450 12 0010f514 MOV             R3, R1; Rd = Op2
sub_10F450 13 0010f564 LDMFD           SP!, {R4-R7}; Load Block from Memory
sub_10F450 14 0010f56c ADD             R1, R1, R2; Rd = Op1 + Op2
sub_10F450 15 0010f580 EOR             R3, R1, R0; Rd = Op1 ^ Op2
sub_10F450 16 0010f58c CMP             R2, #4; Set cond. codes on Op1 - Op2
sub_10F450 17 0010f598 MOV             R3, R2; Rd = Op2
sub_10F450 18 0010f59c CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10F450 19 0010f5a8 SUB             R1, R1, #1; Rd = Op1 - Op2
sub_10F450 20 0010f5f0 MOVS            R3, R2,LSR#2; Rd = Op2
sub_10F450 21 0010f5f8 LDR             R12, [R1,#-4]!; Load from Memory
sub_10F450 22 0010f608 ANDS            R2, R2, #3; Rd = Op1 & Op2
sub_10F450 23 0010f610 SUB             R1, R1, #1; Rd = Op1 - Op2
sub_10F450 24 0010f658 LDMFD           SP!, {R4-R7}; Load Block from Memory
memset 0 0010f660 CMP             R2, #0; Set cond. codes on Op1 - Op2
memset 1 0010f668 ANDS            R3, R0, #3; Rd = Op1 & Op2
memset 2 0010f684 B               loc_10F6B8; Branch
memset 3 0010f688 MOV             R12, R0; Rd = Op2
memset 4 0010f6b8 CMP             R8, R3; Set cond. codes on Op1 - Op2
memset 5 0010f6c0 CMP             R2, #0; Set cond. codes on Op1 - Op2
memset 6 0010f6c8 LDMFD           SP!, {R4-R9}; Load Block from Memory
memset 7 0010f6d0 CMP             R2, #0; Set cond. codes on Op1 - Op2
memset 8 0010f6d8 AND             R3, R2, #3; Rd = Op1 & Op2
memset 9 0010f6e8 ORR             R12, R1, R1,LSL#8; Rd = Op1 | Op2
memset 10 0010f6f4 SUBS            R2, R2, #1; Rd = Op1 - Op2
memset 11 0010f700 CMP             R3, #0; Set cond. codes on Op1 - Op2
memset 12 0010f708 MOV             R1, R0; Rd = Op2
memset 13 0010f738 LDMFD           SP!, {R4-R9}; Load Block from Memory
sub_10F760 0 0010f760 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_10F760 1 0010f798 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10F760 2 0010f7b4 RSBPLS          R0, R6, #4; Rd = Op2 - Op1
sub_10F760 3 0010f7bc SUB             R0, LR, #0x20; Rd = Op1 - Op2
sub_10F760 4 0010f7e4 UMULL           R0, R1, R12, R5; Unsigned Multiply long
sub_10F760 5 0010f82c UMULL           R0, R1, R12, R5; Unsigned Multiply long
sub_10F760 6 0010f84c UMULL           R1, R0, R12, R2; Unsigned Multiply long
sub_10F760 7 0010f880 UMULL           R4, R6, R12, R2; Unsigned Multiply long
sub_10F760 8 0010f8b8 ADDS            R0, R0, #1; Rd = Op1 + Op2
sub_10F760 9 0010f8e8 UMULL           R1, R0, R12, R5; Unsigned Multiply long
sub_10F760 10 0010f96c UMULL           R6, R1, R12, R2; Unsigned Multiply long
sub_10F760 11 0010f9a0 ADD             R0, R0, #1; Rd = Op1 + Op2
sub_10F760 12 0010f9b0 STMFD           SP!, {R2,R3}; Store Block to Memory
sub_10F760 13 0010f9c0 LDMFD           SP!, {R2-R6,PC}; Load Block from Memory
sub_10F760 14 0010f9c4 MOV             R1, #0; Rd = Op2
sub_10F760 15 0010f9d0 RSB             LR, R6, #0x20; Rd = Op2 - Op1
sub_10F760 16 0010f9e8 SUBS            LR, R2, R5; Rd = Op1 - Op2
sub_10F760 17 0010fa04 MOVS            R4, R4,LSR#1; Rd = Op2
sub_10FA50 0 0010fa50 SUBS            R3, R2, #0x20; Rd = Op1 - Op2
sub_10FA50 1 0010fa58 RSB             R3, R2, #0x20; Rd = Op2 - Op1
sub_10FA50 2 0010fa6c MOV             R1, R0,LSL R3; Rd = Op2
sub_10FA78 0 0010fa78 B               loc_10FA80; Branch
sub_10FA78 1 0010fa80 STMFD           SP!, {R0-R2,LR}; Store Block to Memory
sub_10FA7C 0 0010fa7c NOP; No Operation
sub_10FA7C 1 0010fa80 STMFD           SP!, {R0-R2,LR}; Store Block to Memory
sub_10FA90 0 0010fa90 MOVS            R1, R0; Rd = Op2
sub_10FA9C 0 0010fa9c CLZ             R2, R1; Count Leading Zeros
sub_10FA9C 1 0010fac0 SMLAWT          R1, R1, R12, R1; Wide signed multiply-accumulate (top)
sub_10FA9C 2 0010fad8 UMULL           R2, R12, R0, R1; Unsigned Multiply long
sub_10FA9C 3 0010fb00 RSB             R2, R2, #0; Rd = Op2 - Op1
sub_10FA9C 4 0010fb34 MOVCS           R0, R0; Rd = Op2
sub_10FA9C 5 0010fb40 STMFD           SP!, {R0,LR}; Store Block to Memory
sub_10FB50 0 0010fb50 STMFD           SP!, {LR}; Store Block to Memory
sub_10FB50 1 0010fb88 SMLAWT          R1, R1, R12, R1; Wide signed multiply-accumulate (top)
sub_10FB50 2 0010fba0 UMULL           R2, R12, R0, R1; Unsigned Multiply long
sub_10FB50 3 0010fbc4 MOVS            LR, LR,LSL#1; Rd = Op2
sub_10FB50 4 0010fbd4 RSB             R2, R2, #0; Rd = Op2 - Op1
sub_10FB50 5 0010fc14 MOVCS           R0, R0; Rd = Op2
sub_10FB50 6 0010fc20 STMFD           SP!, {R0,R4,LR}; Store Block to Memory
do_some_system_control 0 00110004 STMFD           SP!, {LR}; Store Block to Memory
do_some_system_control 1 00110038 MOV             R1, #0; Rd = Op2
do_some_system_control 2 0011003c ORR             R2, R1, R0; Rd = Op1 | Op2
do_some_system_control 3 00110050 ADD             R0, R0, #0x20; Rd = Op1 + Op2
do_some_system_control 4 0011005c MOV             R0, #0; Rd = Op2
reset_MMU_and_other_stuff 0 001100a4 LDR             R0, =off_110400; Load from Memory
reset_MMU_and_other_stuff 1 001100c4 BL              do_some_system_control; Branch with Link
reset_MMU_and_other_stuff 2 001100cc LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_110414 0 00110414 MOV             R0, #0; Rd = Op2
sub_110420 0 00110420 MOV             R0, #0; Rd = Op2
sub_110420 1 00110424 MOV             R1, #0; Rd = Op2
sub_110420 2 00110428 ORR             R2, R1, R0; Rd = Op1 | Op2
sub_110420 3 0011043c ADD             R0, R0, #0x20; Rd = Op1 + Op2
sub_110420 4 00110448 BX              LR; Branch to/from Thumb mode
sub_11044C 0 0011044c STMFD           SP!, {R4-R12,LR}; Store Block to Memory
pbl_init_pt 0 00110478 STMFD           SP!, {R4-R12,LR}; Store Block to Memory
flush_tlb_and_sync 0 001104d0 DSB             SY; Data Synchronization Barrier
sub_1104E8 0 001104e8 MOV             R0, #2; Rd = Op2
l2cachecontrol 0 00110524 MRC             p15, 0, R0,c0,c0, 5; Move from Coprocessor to ARM Register
initialize_secondary_pt_for_sbl 0 00110534 CMP             R0, #0; Set cond. codes on Op1 - Op2
initialize_secondary_pt_for_sbl 1 00110540 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
initialize_secondary_pt_for_sbl 2 0011056c ADD             R5, R0, R3,LSL#8; Rd = Op1 + Op2
initialize_secondary_pt_for_sbl 3 00110588 MOV             R4, #0; Rd = Op2
pbl_init_pagetables_inner 0 0011059c STMFD           SP!, {R4-R8,LR}; Store Block to Memory
pbl_init_pagetables_inner 1 001105b0 LDR             R0, [R4,#0x38]; Load from Memory
pbl_init_pagetables_inner 2 001105bc BL              sub_1104E8; Branch with Link
pbl_init_pagetables_inner 3 001105d4 CMP             R0, #j_reset_real; Set cond. codes on Op1 - Op2
pbl_init_pagetables_inner 4 00110624 CMP             R0, #1; Set cond. codes on Op1 - Op2
pbl_init_pagetables_inner 5 00110630 B               loc_11064C; Branch
pbl_init_pagetables_inner 6 00110634 LDR             R1, =0xB110000; Load from Memory
pbl_init_pagetables_inner 7 0011064c LDR             R0, =0xB010000; Load from Memory
pbl_init_pagetables_inner 8 00110660 BL              sub_10F288; Branch with Link
pbl_init_pagetables_inner 9 00110668 CMP             R0, #0; Set cond. codes on Op1 - Op2
pbl_init_pagetables_inner 10 00110670 MOV             R1, #0x4000; Rd = Op2
pbl_init_pagetables_inner 11 00110688 MOV             R1, #0x1000; Rd = Op2
pbl_init_pagetables_inner 12 0011069c MOV             R0, #0; Rd = Op2
pbl_init_pagetables_inner 13 001106a8 ORR             R2, R1, R0,LSL#20; Rd = Op1 | Op2
pbl_init_pagetables_inner 14 001106bc MOV             R0, #0x81; Rd = Op2
pbl_init_pagetables_inner 15 001106c0 ORR             R2, R1, R0,LSL#20; Rd = Op1 | Op2
pbl_init_pagetables_inner 16 001106d4 MOV             R1, #j_reset_real; Rd = Op2
pbl_init_pagetables_inner 17 001106f0 ADD             R8, R0, R6,LSL#8; Rd = Op1 + Op2
pbl_init_pagetables_inner 18 0011070c LDR             R2, [R4,#8]; Load from Memory
pbl_init_pagetables_inner 19 0011072c ADD             R8, R0, LR,LSL#8; Rd = Op1 + Op2
pbl_init_pagetables_inner 20 00110748 MOV             R1, #pt_fl_head; Rd = Op2
pbl_init_pagetables_inner 21 00110760 ADD             R8, R0, LR,LSL#8; Rd = Op1 + Op2
pbl_init_pagetables_inner 22 0011077c BIC             R0, R12, #0x3FC; Rd = Op1 & ~Op2
pbl_init_pagetables_inner 23 001107ac MOVS            R5, R6; Rd = Op2
pbl_init_pagetables_inner 24 001107b8 BL              pbl_init_pt; Branch with Link
pbl_init_pagetables_inner 25 001107c4 MOV             R0, R5; Rd = Op2
pbl_init_pagetables_inner 26 001107c8 LDMFD           SP!, {R4-R8,PC}; Load Block from Memory
sub_1107F0 0 001107f0 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1107F0 1 00110804 LDR             R2, =pt_fl_head; Load from Memory
sub_1107F0 2 0011081c BX              LR; Branch to/from Thumb mode
sub_110824 0 00110824 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_110824 1 00110830 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_11101C 0 0011101c STMFD           SP!, {R4,LR}; Store Block to Memory
sub_111054 0 00111054 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_111054 1 00111070 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_111054 2 0011107c CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_111054 3 00111084 B               loc_1113F8; Branch
sub_111054 4 00111088 LDRB            R2, [R1,#1]; Load from Memory
sub_111054 5 00111094 B               loc_1112D8; jumptable 00111090 default case
sub_111054 6 001110c0 LDRH            R1, [R1,#6]; jumptable 00111090 case 0
sub_111054 7 001110cc STRH            R9, [R0,#0x38]; Store to Memory
sub_111054 8 001110e8 LDRB            R2, [R0,#0x31]; jumptable 00111090 case 5
sub_111054 9 001110f4 LDRH            R1, [R1,#2]; Load from Memory
sub_111054 10 0011110c MOV             R8, R1; jumptable 00111090 case 6
sub_111054 11 0011112c B               loc_111158; jumptable 00111128 default case
sub_111054 12 00111150 LDR             R5, [R6,#0]; jumptable 00111128 case 1
sub_111054 13 00111154 LDRB            R4, [R5,#0]; Load from Memory
sub_111054 14 00111158 CMP             R5, #0; jumptable 00111128 default case
sub_111054 15 00111160 LDRH            R0, [R8,#6]; Load from Memory
sub_111054 16 00111184 MOV             R9, R4; Rd = Op2
sub_111054 17 0011118c LDR             R0, [R6,#4]; jumptable 00111128 case 2
sub_111054 18 001111a0 B               loc_111158; jumptable 00111128 default case
sub_111054 19 001111a4 LDRB            R2, [R0,#0]; jumptable 00111128 case 3
sub_111054 20 001111b8 LDRH            R3, [R0,#8]; Load from Memory
sub_111054 21 001111cc LDR             R0, [R0,#0]; Load from Memory
sub_111054 22 001111d8 MOV             R2, #0x97; Rd = Op2
sub_111054 23 001111ec CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_111054 24 001111f8 B               loc_111154; Branch
sub_111054 25 001111fc LDR             R0, [R6,#0x10]; jumptable 00111128 case 6
sub_111054 26 00111208 LDR             R5, [R0,#4]; Load from Memory
sub_111054 27 00111218 B               loc_11122C; Branch
sub_111054 28 0011121c MOV             R2, #0x178; Rd = Op2
sub_111054 29 0011122c MOV             R2, #0x180; Rd = Op2
sub_111054 30 00111240 LDR             R0, [R6,#0x24]; jumptable 00111128 case 7
sub_111054 31 00111250 LDR             R0, [R6,#0xC]; Load from Memory
sub_111054 32 0011125c LDR             R5, [R0,#4]; Load from Memory
sub_111054 33 00111268 LDRH            R4, [R5,#2]; Load from Memory
sub_111054 34 00111278 MOV             R2, #0x18F; Rd = Op2
sub_111054 35 00111288 MOV             R2, #0x198; Rd = Op2
sub_111054 36 0011129c LDRH            R1, [R1,#6]; jumptable 00111090 case 8
sub_111054 37 001112a8 LDRB            R1, [R0,#0x31]; Load from Memory
sub_111054 38 001112c8 LDRH            R1, [R1,#2]; jumptable 00111090 case 9
sub_111054 39 001112d8 LDR             R2, [R0,#0x1C]; jumptable 00111090 default case
sub_111054 40 001112e4 BLX             R2; Branch with Link and Exchange (register indirect)
sub_111054 41 001112e8 MOV             R9, R0; Rd = Op2
sub_111054 42 001112f0 MOV             R9, #0xFFFFFFFF; jumptable 00111090 cases 1,3,7
sub_111054 43 001112f8 MOVS            R5, R7; Rd = Op2
sub_111054 44 00111304 LDR             R0, [R5,#0x34]; Load from Memory
sub_111054 45 00111314 MOV             R2, #0x69; Rd = Op2
sub_111054 46 00111328 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_111054 47 00111338 BGE             loc_111350; Branch
sub_111054 48 0011133c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_111054 49 00111344 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_111054 50 0011134c B               loc_111360; Branch
sub_111054 51 00111350 CMP             R0, #0xA; Set cond. codes on Op1 - Op2
sub_111054 52 00111358 CMP             R0, #0xB; Set cond. codes on Op1 - Op2
sub_111054 53 00111360 LDR             R3, [R2,#0x10]; Load from Memory
sub_111054 54 0011136c MOV             R1, R4; Rd = Op2
sub_111054 55 00111378 MOV             R6, R0; Rd = Op2
sub_111054 56 00111380 LDRH            R0, [R4,#6]; Load from Memory
sub_111054 57 0011138c STRH            R9, [R5,#0x38]; Store to Memory
sub_111054 58 001113a8 LDRH            R0, [R4,#6]; Load from Memory
sub_111054 59 001113b4 LDRB            R0, [R2,#0x14]; Load from Memory
sub_111054 60 001113d4 LDR             R0, [R5,#0x34]; Load from Memory
sub_111054 61 001113e0 LDRH            R1, [R4,#2]; Load from Memory
sub_111054 62 001113f8 MOVS            R5, R7; Rd = Op2
sub_111054 63 00111404 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_111054 64 0011140c LDR             R0, [R5,#0x34]; Load from Memory
sub_111054 65 0011141c LDR             R0, [R0,#0xC]; Load from Memory
sub_111054 66 0011142c LDR             R2, [R0,#4]; Load from Memory
sub_111054 67 0011143c LDR             R0, [R0,#0]; Load from Memory
sub_111054 68 00111448 MOV             R2, #0x8A; Rd = Op2
sub_111054 69 0011145c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_111054 70 00111464 LDRB            R1, [R4,#1]; Load from Memory
sub_111054 71 00111470 CMP             R1, #1; Set cond. codes on Op1 - Op2
sub_111054 72 00111478 CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_111054 73 00111480 CMP             R1, #0xC; Set cond. codes on Op1 - Op2
sub_111054 74 00111490 MOV             R1, R4; Rd = Op2
sub_111054 75 0011149c MOV             R2, #0x227; Rd = Op2
sub_111054 76 001114b0 MOV             R2, #0x22E; Rd = Op2
sub_111054 77 001114c4 LDRH            R1, [R4,#6]; Load from Memory
sub_111054 78 001114d0 LDR             R0, [R0,#0x10]; Load from Memory
sub_111054 79 001114f4 LDRH            R1, [R4,#2]; Load from Memory
sub_111054 80 00111500 LDR             R1, [R0,#4]; Load from Memory
sub_111054 81 00111510 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_111054 82 00111518 LDRB            R2, [R1,#2]; Load from Memory
sub_111054 83 00111534 LDRH            R1, [R4,#2]; Load from Memory
sub_111054 84 00111540 LDR             R1, [R0,#4]; Load from Memory
sub_111054 85 00111550 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_111054 86 00111558 LDRB            R2, [R1,#2]; Load from Memory
sub_111054 87 00111570 MOV             R6, R9; Rd = Op2
sub_111054 88 00111578 MOV             R2, #0x20F; Rd = Op2
sub_111054 89 00111588 CMP             R6, #0; Set cond. codes on Op1 - Op2
sub_111054 90 00111590 ADD             R2, R7, #0x38; Rd = Op1 + Op2
sub_111054 91 001115a8 BNE             loc_1115C4; Branch
sub_111054 92 001115ac MOV             R0, R7; Rd = Op2
sub_111054 93 001115c4 BGE             locret_1115DC; Branch
sub_111054 94 001115c8 LDR             R0, [R7,#0x14]; Load from Memory
sub_111054 95 001115dc LDMFD           SP!, {R4-R10,PC}; Load Block from Memory
sub_111054 96 00111ec4 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_111054 97 00112c68 CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_1115E0 0 001115e0 STMFD           SP!, {R4,R5,LR}; Store Block to Memory
sub_1115E0 1 001115f0 LDR             R0, [R5,#0xC]; Load from Memory
sub_1115E0 2 00111604 LDRB            R12, [R3,#2]; Load from Memory
sub_1115E0 3 0011161c LDR             R4, [R0,#0xC]; Load from Memory
sub_1115E0 4 00111628 LDR             R0, [R4,#4]; Load from Memory
sub_1115E0 5 00111634 LDRB            R1, [R0,#2]; Load from Memory
sub_1115E0 6 0011166c MOV             R0, #0; Rd = Op2
sub_1115E0 7 00111670 ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_1115E0 8 00111678 MOV             R2, #0xD3; Rd = Op2
sub_1115E0 9 00111694 MOV             R2, #0xDA; Rd = Op2
sub_1115E0 10 001116b0 MOV             R2, #0xE6; Rd = Op2
sub_1116CC 0 001116cc STR             R1, [R0,#0x28]; Store to Memory
sub_1116CC 1 001116e0 BX              R2; Branch to/from Thumb mode
sub_1116CC 2 001116e4 MOV             R2, #0xA3; Rd = Op2
sub_1116CC 3 001130d8 LDR             R3, =word_2092E8; Load from Memory
sub_1116F4 0 001116f4 LDR             R1, =0x1841000; Load from Memory
sub_1116F4 1 0011170c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_1116F4 2 0011171c CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_1116F4 3 0011172c MOV             R2, R0; Rd = Op2
sub_1116F4 4 0011173c BX              LR; Branch to/from Thumb mode
sub_1116F4 5 001130d8 LDR             R3, =word_2092E8; Load from Memory
sub_111744 0 00111744 LDR             R1, =0x1841000; Load from Memory
sub_111744 1 0011175c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_111744 2 0011176c CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_111744 3 0011177c MOV             R2, R0; Rd = Op2
